id,title,Amount collected,target amount,Number of investors,returned goods,caption,Number of photographs,Per capita investment,rate of achievement,Successes
1,40,237000,1800000,6,1,2359,10,39500,0.132,0
2,36,111000,500000,13,0,2372,5,8538,0.222,0
3,15,10000,500000,2,0,2012,5,5000,0.020,0
4,23,127000,300000,6,1,2001,6,21167,0.423,0
5,31,120000,120000,11,0,1198,3,10909,1.000,1
6,33,2637000,1000000,116,0,1404,3,22733,2.637,1
7,32,36000,3000000,2,0,1987,6,18000,0.012,0
8,38,10000,10000000,1,1,2422,6,10000,0.001,0
9,30,324000,500000,32,0,2207,4,10125,0.648,0
10,38,465000,500000,26,0,2536,4,17885,0.930,0
11,39,11000,5000000,2,0,1763,3,5500,0.002,0
12,36,15000,1000000,2,0,1549,5,7500,0.015,0
13,35,66000,5000000,4,1,1725,4,16500,0.013,0
14,23,210000,2500000,32,0,2384,5,6563,0.084,0
15,39,688000,5360000,35,1,1845,3,19657,0.128,0
16,44,40000,1000000,4,0,2420,5,10000,0.040,0
17,36,11000,1000000,2,0,1646,6,5500,0.011,0
18,39,341000,1000000,4,0,2196,6,85250,0.341,0
19,28,40000,2000000,8,0,2113,3,5000,0.020,0
20,39,204000,1000000,32,0,1360,4,6375,0.204,0
21,26,30000,1000000,5,0,2118,0,6000,0.030,0
22,33,3000,1000000,1,0,2211,6,3000,0.003,0
23,25,147000,500000,23,0,1551,4,6391,0.294,0
24,33,229000,20000000,14,1,2262,2,16357,0.011,0
25,27,6000,1000000,2,1,3019,8,3000,0.006,0
26,28,10000,3600000,2,1,2695,7,5000,0.003,0
27,38,125000,650000,18,0,2587,5,6944,0.192,0
28,28,214000,2874000,23,0,2142,3,9304,0.074,0
29,32,16000,1000000,3,1,1793,0,5333,0.016,0
30,24,64000,863000,8,0,1636,6,8000,0.074,0
31,16,148600,1725000,10,0,2204,6,14860,0.086,0
32,27,111000,20000000,8,0,3026,8,13875,0.006,0
33,30,2246500,3159000,75,0,1940,5,29953,0.711,0
34,20,23000,5670000,3,0,1871,4,7667,0.004,0
35,40,380000,500000,17,0,1823,5,22353,0.760,0
36,21,1100000,20000000,28,1,1899,5,39286,0.055,0
37,26,0,1000000,0,1,3024,8,0,0.000,0
38,39,90000,1000000,3,1,2416,8,30000,0.090,0
39,38,403000,1000000,29,1,2092,4,13897,0.403,0
40,35,1000,3000000,1,1,2076,5,1000,0.000,0
41,33,181000,2600000,28,0,2572,6,6464,0.070,0
42,24,45000,1000000,4,0,1979,3,11250,0.045,0
43,40,10000,3000000,1,0,3086,5,10000,0.003,0
44,27,10000,1000000,1,0,1608,0,10000,0.010,0
45,25,30000,500000,2,0,1684,4,15000,0.060,0
46,24,171000,170000,14,0,1923,2,12214,1.006,1
47,31,18000,1160000,5,0,2734,5,3600,0.016,0
48,29,80000,1000000,10,0,1762,6,8000,0.080,0
49,30,45000,1000000,9,0,2199,5,5000,0.045,0
50,30,164000,1600000,15,1,2636,8,10933,0.103,0
51,26,952000,20000000,83,1,2188,6,11470,0.048,0
52,34,539000,5000000,6,1,1910,6,89833,0.108,0
53,20,908000,30000000,91,0,1920,3,9978,0.030,0
54,12,62000,1000000,7,0,1475,5,8857,0.062,0
55,34,149100,1000000,16,1,1972,6,9319,0.149,0
56,27,285000,1000000,4,1,1227,1,71250,0.285,0
57,39,80000,1000000,2,1,1667,2,40000,0.080,0
58,26,1552000,1000000,82,1,1724,3,18927,1.552,1
59,15,120000,1000000,11,0,1496,3,10909,0.120,0
60,39,774500,2000000,53,1,2741,5,14613,0.387,0
61,40,30000,4000000,2,1,1673,6,15000,0.008,0
62,32,71000,300000,11,1,2010,0,6455,0.237,0
63,39,84000,2500000,6,1,1539,5,14000,0.034,0
