ファイル名,寄付金額,達成率,目標金額,支援者数,期間,応援メッセージの件数,進捗情報,説明文字数,お礼品の種類,お礼品の最高額,お礼品の最低額,説明に使われた画像の枚数
1855,1445000,43.7,3300000,131,77,0,1,292,36,198000,7000,20
2886,1008000,20.1,5000000,59,76,15,0,536,41,100000,5000,14
2288,1043000,104.3,1000000,50,91,0,4,508,0,,,20
135,420000,28,1500000,13,87,1,0,829,0,,,44
2618,4651000,232.5,2000000,212,90,0,3,609,12,19000,12000,30
763,149000,7.4,2000000,13,58,0,0,344,4,100000,10000,13
1600,2235000,149,1500000,234,90,20,10,705,510,71500000,5000,94
1264,2517000,55.9,4500000,94,90,20,5,175,69,560000,5000,27
2415,10187000,69.7,14602000,376,90,20,17,507,589,792000,10000,54
2071,271000,27.1,1000000,25,91,0,0,225,9,200000,7000,31
556,2715000,90.5,3000000,124,45,5,0,22,16,1000000,5000,22
2881,10000,1,1000000,2,91,0,3,215,0,,,14
1852,2368000,39.4,6000000,139,90,0,0,298,0,,,14
1899,6335000,63.3,10000000,347,90,0,5,187,35,668000,10000,35
2412,3632000,363.2,1000000,194,83,7,0,725,859,84000000,5000,41
92,377000,8.7,4320000,15,84,2,0,142,0,,,17
66,1430000,35.7,4000000,46,67,7,0,179,0,,,19
104,130000,4.3,3000000,7,31,0,0,99,0,,,21
560,1158000,115.8,1000000,97,92,20,1,22,5,100000,10000,31
2629,3573000,357.3,1000000,83,83,5,2,183,170,1000000,4000,19
907,4000600,100,4000000,104,90,0,0,212,1,30000,30000,13
2286,1529777,76.4,2000000,42,30,0,0,463,3,20000,15000,14
50,10574000,105.7,10000000,488,60,20,0,35,0,,,31
1863,1769320,17.6,10000000,52,81,0,0,249,10,25000,10000,23
1636,1130000,113,1000000,75,90,3,2,128,16,100000,5000,21
2275,5570000,101.2,5500000,34,88,0,0,41,0,,,11
558,2108000,210.8,1000000,101,00,19,0,153,27,45000,7000,20
2423,3348000,139.5,2400000,179,43,0,1,669,12,39000,10000,16
1662,2002500,100.1,2000000,172,47,20,1,373,0,,,19
2477,3321000,101.8,3260000,189,91,9,7,224,0,,,40
1837,1243100,124.3,1000000,107,93,20,0,697,53,240000,6000,20
533,675000,45,1500000,29,66,2,0,385,0,,,19
2810,5938500,197.9,3000000,293,90,20,5,0,1,20000,20000,37
739,1251027,25,5000000,70,90,0,1,380,0,,,10
2014,1050000,105,1000000,53,90,13,0,349,136,600000,8000,25
1665,44000,4.4,1000000,9,87,0,1,0,49,497000,9000,14
1201,523111,17.4,3000000,45,92,20,2,142,0,,,19
2484,3742000,12.4,30000000,103,90,0,1,299,145,6600000,7000,16
2817,150001600,75,200000000,"1,600",26,20,1,117,81,600000,5500,29
362,353000,4.4,8000000,13,89,0,0,382,12,100000,5000,19
534,2905000,96.8,3000000,109,22,0,0,22,5,100000,10000,22
1830,7036000,35.1,20000000,345,90,20,0,6,13,200000,10000,14
1495,2072600,29.6,7000000,81,91,17,4,346,9,60000,10000,29
159,295000,2.9,10000000,11,17,0,0,447,0,,,24
2022,8158000,407.8,2000000,530,89,0,3,609,12,19000,12000,22
1237,640000,32,2000000,19,09,0,2,355,7,250000,5000,19
1839,43000,4.3,1000000,6,44,0,0,213,0,,,10
1005,591000,19.7,3000000,12,91,0,0,545,0,,,13
502,1015000,101.4,1000000,47,80,9,1,224,4,50000,10000,26
2821,333000,33.3,1000000,21,90,0,0,314,78,52000,8000,13
1208,8784000,29.2,30000000,442,90,20,4,200,19,38000,10000,40
708,310000,31,1000000,16,26,0,1,168,0,,,22
2217,705000,39.1,1800000,25,58,0,0,189,24,270000,12000,15
1459,659000,65.9,1000000,29,90,3,1,0,26,50000,10000,28
195,3113519,103.7,3000000,307,90,0,0,0,0,,,15
2228,181000,9,2000000,16,90,0,0,254,119,88000,1000,59
161,360000,18,2000000,16,53,4,0,26,0,,,17
505,3003055,100.1,3000000,167,96,0,3,211,17,100000,5000,33
737,717000,1,70000000,52,90,15,3,104,18,125000,5000,41
1298,286000,28.6,1000000,23,94,0,0,0,0,,,42
566,75000,3.7,2000000,5,92,0,0,153,145,1250000,6000,51
754,483076,4.8,10000000,27,92,0,0,479,0,,,15
1896,5894000,117.8,5000000,156,90,20,2,274,5,110000,7000,26
2079,1175000,117.5,1000000,32,90,1,2,78,0,,,19
102,4692000,9.3,50000000,117,11,20,0,695,0,,,16
69,260000,8.6,3000000,16,61,6,0,48,0,,,18
1862,3281423,109.3,3000000,200,91,0,3,212,15,148000,10000,26
901,5410000,54.1,10000000,75,92,0,5,273,36,100000,8000,15
56,600000,20,3000000,20,70,0,0,0,0,,,16
1637,684000,22.8,3000000,13,90,0,0,239,7,80000,3000,14
1405,1057500,105.7,1000000,28,89,9,4,0,12,55000,5000,50
595,1115574,111.5,1000000,34,86,0,0,157,0,,,25
105,170000,5.6,3000000,6,60,0,0,140,0,,,32
1066,4740145,237,2000000,191,91,20,3,18,0,,,26
2425,3072000,51.2,6000000,183,62,0,3,67,10,39000,10000,29
1092,1327000,100.5,1320000,24,58,3,0,315,0,,,26
2617,1378000,34.4,4000000,56,90,5,2,180,519,1500000,10000,28
2273,0,0,10000000,0,74,0,0,598,0,,,10
308,16609310,166,10000000,358,63,20,4,287,6,300000,5000,21
1639,55050,2.7,2000000,3,91,3,1,205,0,,,14
1853,1005000,100.4,1000000,31,30,5,2,80,0,,,18
58,9839000,98.3,10000000,317,32,0,0,600,0,,,30
765,418000,13.9,3000000,9,57,0,0,151,6,18000,18000,20
133,10555000,211.1,5000000,41,43,11,0,0,0,,,14
1050,2445000,29.8,8190000,27,05,0,0,232,37,190000,10000,24
2083,12531500,1253.1,1000000,164,92,3,2,504,30,334000,5500,19
568,2030000,202.9,1000000,52,92,14,0,198,4,100000,5000,25
