ファイル名,寄付金額,達成率,目標金額,支援者数,期間,応援メッセージの件数,進捗情報,説明文字数,お礼品の種類,お礼品の最高額,お礼品の最低額,説明に使われた画像の枚数
1069,303000,30.3,1000000,12,90,0,1,395,0,,,15
909,20660867,187.8,11000000,284,90,20,5,272,0,,,18
2872,12000,1.2,1000000,2,77,0,3,30,0,,,16
551,2472000,49.4,5000000,109,92,0,0,153,24,100000,10000,13
1432,1329000,132.9,1000000,17,54,0,0,190,0,,,14
2085,620000,62,1000000,20,90,3,0,359,59,220000,14000,19
1056,748000,37.4,2000000,32,90,0,1,45,63,300000,10000,18
1290,510000,51,1000000,48,50,2,1,276,9,38000,6000,15
95,1052000,21,5000000,44,66,19,0,146,0,,,19
2627,5612000,187,3000000,48,90,0,0,115,37,10000,10000,34
2243,718000,2.3,30000000,39,91,0,1,463,103,132000,10000,56
338,2896000,115.8,2500000,154,86,20,1,342,13,300000,5000,39
936,2221300,22.2,10000000,49,90,0,1,209,0,,,11
764,1315000,131.5,1000000,16,30,4,2,250,8,20000,10000,20
300,163000,5.4,3000000,17,90,0,0,298,0,,,24
2875,192000,19.2,1000000,14,91,0,0,160,178,540000,3000,13
2049,4130492,10.3,40000000,84,52,0,0,964,0,,,27
132,72367000,72.3,100000000,"1,216",53,0,0,456,0,,,17
1638,8367800,27.8,30000000,185,75,20,1,263,0,,,26
59,1539500,153.9,1000000,79,76,15,0,0,0,,,22
931,234000,7.8,3000000,11,91,0,0,186,80,490000,10000,14
2076,2678000,44.6,6000000,66,90,7,1,266,0,,,16
2620,5410140,108.2,5000000,125,90,12,5,196,0,,,23
1297,155000,15.5,1000000,4,90,0,0,0,365,800000,5000,41
569,500000,50,1000000,12,90,0,0,153,8,1000000,10000,21
1051,1369131,27.8,4910000,41,90,8,0,144,13,45000,10000,27
1263,395000,13.2,2985000,25,52,10,0,193,14,1000000,3000,45
2082,317000,31.7,1000000,39,92,0,2,329,0,,,13
1435,963000,27.5,3500000,33,90,0,0,334,0,,,11
336,22654359,125.8,18000000,778,22,20,4,0,27,200000,10000,55
2843,1123906,112.3,1000000,54,90,0,5,93,0,,,14
938,567000,10.6,5310000,27,90,0,1,251,0,,,14
752,2213500,59.8,3700000,64,04,0,0,157,2,16500,10000,27
1890,7850555,157,5000000,191,92,20,2,157,0,,,25
594,39670600,132.2,30000000,"1,377",53,20,2,0,29,500000,10000,52
1058,1380000,55.2,2500000,56,90,15,0,287,4,100000,20000,20
1864,193000,9.6,2000000,23,60,6,0,116,9,100000,4000,24
2616,30003793,136.3,22000000,270,91,20,0,26,0,,,16
2040,12950500,259,5000000,536,90,2,2,322,330,2500000,5000,55
309,5515000,20.4,27000000,104,61,0,0,218,11,200000,10000,17
2272,2466000,30.8,8000000,35,90,0,0,264,0,,,21
2888,6838390,683.8,1000000,388,90,20,13,232,0,,,57
1631,796000,7.9,10000000,39,90,8,0,153,16,150000,8000,21
1403,1774388,104.3,1700000,98,89,20,4,0,9,100000,5000,42
1067,2331000,233.1,1000000,58,62,0,1,339,24,700000,18000,21
1255,58000,2.9,2000000,9,61,2,0,172,3,3000,1500,14
1609,447200,3.1,14200000,17,21,0,1,194,9,300000,10000,15
593,4392000,87.8,5000000,162,56,19,5,153,12,10000,10000,34
755,775000,7.7,10000000,14,62,0,0,150,0,,,22
1897,810000,40.5,2000000,57,91,0,0,34,0,,,13
1299,19427220,129.5,15000000,751,91,20,1,0,0,,,21
567,2508200,100.3,2500000,34,92,0,0,153,55,1700000,5000,23
2844,35000,1.7,2000000,2,90,1,1,121,0,,,15
2078,2913000,97.1,3000000,187,90,0,0,62,0,,,15
331,2055000,102.7,2000000,115,52,20,0,301,0,,,25
57,3297000,10.9,30000000,137,04,20,0,0,0,,,25
1252,7752575,387.6,2000000,378,90,20,2,0,4,100000,10000,22
1060,675000,67.5,1000000,43,78,0,0,453,1,10000,10000,17
1404,70000,1.3,5100000,5,61,0,0,158,0,,,17
2281,1293000,53.8,2400000,73,91,0,1,589,0,,,14
900,960000,48,2000000,60,90,0,3,232,0,,,21
2047,540000,27,2000000,32,52,0,0,797,0,,,26
1094,340000,34,1000000,10,88,3,0,128,25,100000,10000,17
1808,11141000,222.8,5000000,296,14,0,0,0,0,,,29
1034,3881000,129.3,3000000,90,90,7,0,118,36,2000000,10000,18
1206,12557860,62.7,20000000,527,83,20,0,0,35,3000000,5000,25
2483,3464000,100.4,3450000,90,88,0,1,49,1721,45000000,5000,40
1450,351000,35.1,1000000,20,90,1,0,259,1,10000,10000,16
1696,4381385,87.6,5000000,76,86,11,6,126,0,,,11
2013,820000,82,1000000,6,75,0,0,190,0,,,16
168,670000,22.6,2958000,15,80,2,0,0,0,,,15
954,39485000,112.8,35000000,368,54,20,0,167,10,1000000,10000,17
2645,1132000,75.4,1500000,73,91,8,1,85,55,170000,5000,21
391,1745000,58.1,3000000,42,73,0,0,229,16,500000,10000,30
1239,876000,43.8,2000000,60,91,12,1,169,16,35000,13000,16
2448,3924500,392.4,1000000,78,84,0,1,173,135,1617000,5000,19
701,864000,57.6,1500000,21,49,3,1,186,4,20000,10000,21
365,2013000,100.6,2000000,72,91,2,1,636,7,500000,5000,36
2470,8971000,56,16000000,167,90,0,3,459,0,,,30
2642,17143769,100.8,17000000,204,90,0,1,0,0,,,28
2226,705500,23.5,3000000,16,90,0,0,268,1,50000,50000,12
1691,1671500,55.7,3000000,62,90,7,1,352,25,92000,10000,19
953,465000,27.3,1700000,25,54,6,0,0,33,185000,3000,22
2828,1003000,100.2,1000000,50,84,0,1,202,206,1150000,10000,74
1033,3270000,218,1500000,52,90,3,0,321,41,2000000,10000,18
150,34235244,42.7,80000000,"1,310",52,20,1,0,15,100000,10000,25
706,289000,22.2,1300000,13,50,0,1,334,49,500000,5000,27
2689,2429300,80.9,3000000,66,91,0,0,257,0,,,15
998,540000,27,2000000,25,87,0,0,258,0,,,12
1468,54513797,121.1,45000000,"1,338",79,20,0,987,46,3000000,10000,32
965,347000,27.7,1250000,16,91,0,0,0,2,10000,5000,13
2446,1617000,80.8,2000000,75,90,18,0,117,0,,,27
2674,1176000,106.9,1100000,33,91,4,4,304,0,,,18
2680,808000,80.8,1000000,39,92,0,1,130,0,,,9
1461,975500,48.7,2000000,40,90,12,0,576,2,35000,15000,19
991,1071000,107.1,1000000,16,92,4,1,228,123,845000,6000,19
730,1195000,119.5,1000000,50,19,10,0,196,5,200000,2000,21
2479,6713000,13.4,50000000,98,91,0,1,53,122,1000000,7000,16
1698,728000,72.8,1000000,59,90,16,1,186,2,10000,5000,19
166,1503000,32.1,4670000,62,80,16,0,0,0,,,15
354,12044000,301.1,4000000,99,76,2,0,397,199,715000,2000,23
192,22911185,11.4,200000000,115,43,20,0,391,0,,,15
1806,305000,30.5,1000000,16,90,9,0,205,104,600000,8000,30
996,214000,14.2,1500000,12,87,0,0,211,231,1000000,9000,36
1466,5742750,44.1,13000000,153,92,0,0,173,0,,,27
398,4642000,309.4,1500000,180,96,20,3,666,0,,,34
1002,1555000,155.5,1000000,107,90,0,1,95,16,20000,10000,33
2687,1313000,131.3,1000000,73,61,0,1,178,26,60000,2000,24
1230,1964428,130.9,1500000,140,90,0,1,0,0,,,19
2673,1612000,161.2,1000000,18,90,0,1,278,0,,,16
2441,1013000,101.2,1000000,95,91,0,2,134,0,,,29
2025,315000,31.5,1000000,2,90,0,0,204,3,17000,15000,12
962,1638414,163.8,1000000,35,92,4,1,222,123,845000,6000,18
1492,570000,19,3000000,9,90,0,0,432,21,313000,5000,35
1801,1010000,101,1000000,38,91,0,1,376,0,,,16
353,3007000,60.1,5000000,46,77,0,0,179,36,1480000,5000,16
2826,2294400,229.4,1000000,122,62,0,2,245,238,367000,5000,27
330,1603000,53.4,3000000,26,43,6,2,263,0,,,18
2845,665000,44.3,1500000,38,62,2,0,137,0,,,14
1608,1865000,37.3,5000000,75,39,20,5,138,0,,,19
592,1650000,60,2750000,22,53,5,1,153,0,,,20
2046,931000,31,3000000,20,52,0,0,307,0,,,18
2274,572000,5.7,10000000,37,69,0,1,0,40,300000,10000,16
1095,5857000,117.1,5000000,331,80,20,0,0,45,170000,6000,19
2610,11937000,238.7,5000000,25,90,0,0,169,0,,,20
2422,830000,16.6,5000000,44,90,15,1,592,0,,,12
559,1812000,51.7,3500000,67,92,13,1,153,0,,,18
1061,1712000,116.4,1470000,146,90,20,1,373,2,10000,10000,26
1253,156000,10.4,1500000,12,90,0,0,259,4,1000000,5000,20
2280,236458,11.8,2000000,23,92,0,1,95,0,,,16
1865,83000,6.3,1300000,6,90,0,6,239,0,,,22
1059,1820193,101.1,1800000,46,90,7,0,137,0,,,16
939,1013000,101.2,1000000,89,40,20,6,277,2,15000,10000,27
2842,237000,23.7,1000000,14,84,0,3,226,0,,,18
