ファイル名,寄付金額,達成率,目標金額,支援者数,期間,応援メッセージの件数,進捗情報,説明文字数,お礼品の種類,お礼品の最高額,お礼品の最低額,説明に使われた画像の枚数
1855,"1,445,000",43.7,"目標金額：3,300,000円",,20229152022113077,0,1,292,36,198000,7000,20
2886,"1,008,000",20.1,"目標金額：5,000,000円",,2024116202433176,15,,536,41,100000,5000,14
2288,"1,043,000",104.3,"目標金額：1,000,000円",,20237142023101291,0,4,508,0,,,20
135,"420,000",28,"目標金額：1,500,000円",,201714201733187,1,,829,0,,,44
2618,"4,651,000",232.5,"目標金額：2,000,000円",,20231022202411990,0,3,609,12,19000,12000,30
763,"149,000",7.4,"目標金額：2,000,000円",,202023202033158,0,,344,4,100000,10000,13
1600,"2,235,000",149,"目標金額：1,500,000円",,2022214202251590,20,10,705,510,71500000,5000,94
1264,"2,517,000",55.9,"目標金額：4,500,000円",,202177202110490,20,5,175,69,560000,5000,27
2415,"10,187,000",69.7,"目標金額：14,602,000円",,20231032023123190,20,17,507,589,792000,10000,54
2071,"271,000",27.1,"目標金額：1,000,000円",,20221115202321391,0,,225,9,200000,7000,31
556,"2,715,000",90.5,"目標金額：3,000,000円",,201967201972145,5,,22,16,1000000,5000,22
2881,"10,000",1,"目標金額：1,000,000円",,2024115202441491,0,3,215,0,,,14
1852,"2,368,000",39.4,"目標金額：6,000,000円",,20221032022123190,0,,298,0,,,14
1899,"6,335,000",63.3,"目標金額：10,000,000円",,20221032022123190,0,5,187,35,668000,10000,35
2412,"3,632,000",363.2,"目標金額：1,000,000円",,20237252023101583,7,,725,859,84000000,5000,41
92,"377,000",8.7,"目標金額：4,320,000円",,20167120161231184,2,,142,0,,,17
66,"1,430,000",35.7,"目標金額：4,000,000円",,2016125201633167,7,,179,0,,,19
104,"130,000",4.3,"目標金額：3,000,000円",,20169152016101531,0,,99,0,,,21
560,"1,158,000",115.8,"目標金額：1,000,000円",,201971201993092,20,1,22,5,100000,10000,31
2629,"3,573,000",357.3,"目標金額：1,000,000円",,202310102023123183,5,2,183,170,1000000,4000,19
907,"4,000,600",100,"目標金額：4,000,000円",,2020617202091490,0,,212,1,30000,30000,13
2286,"1,529,777",76.4,"目標金額：2,000,000円",,202361202363030,0,,463,3,20000,15000,14
50,"10,574,000",105.7,"目標金額：10,000,000円",,20151022015113060,20,,35,0,,,31
1863,"1,769,320",17.6,"目標金額：10,000,000円",,202210122022123181,0,,249,10,25000,10000,23
1636,"1,130,000",113,"目標金額：1,000,000円",,202252202273090,3,2,128,16,100000,5000,21
2275,"5,570,000",101.2,"目標金額：5,500,000円",,20237262023102188,0,,41,0,,,11
558,"2,108,000",210.8,"目標金額：1,000,000円",,20196212019928100,19,,153,27,45000,7000,20
2423,"3,348,000",139.5,"目標金額：2,400,000円",,2023825202310643,0,1,669,12,39000,10000,16
1662,"2,002,500",100.1,"目標金額：2,000,000円",,2022427202261247,20,1,373,0,,,19
2477,"3,321,000",101.8,"目標金額：3,260,000円",,20231022023123191,9,7,224,0,,,40
1837,"1,243,100",124.3,"目標金額：1,000,000円",,20229302022123193,20,,697,53,240000,6000,20
533,"675,000",45,"目標金額：1,500,000円",,2019426201963066,2,,385,0,,,19
2810,"5,938,500",197.9,"目標金額：3,000,000円",,2023121202422890,20,5,0,1,20000,20000,37
739,"1,251,027",25,"目標金額：5,000,000円",,2019122202022990,0,1,380,0,,,10
2014,"1,050,000",105,"目標金額：1,000,000円",,20221124202322190,13,,349,136,600000,8000,25
1665,"44,000",4.4,"目標金額：1,000,000円",,202256202273187,0,1,0,49,497000,9000,14
1201,"523,111",17.4,"目標金額：3,000,000円",,202171202193092,20,2,142,0,,,19
2484,"3,742,000",12.4,"目標金額：30,000,000円",,20231031202412890,0,1,299,145,6600000,7000,16
2817,"150,001,600",75,"目標金額：200,000,000円",,202311272024331126,20,1,117,81,600000,5500,29
362,"353,000",4.4,"目標金額：8,000,000円",,2018932018113089,0,,382,12,100000,5000,19
534,"2,905,000",96.8,"目標金額：3,000,000円",,2019412019731122,0,,22,5,100000,10000,22
1830,"7,036,000",35.1,"目標金額：20,000,000円",,20221032022123190,20,,6,13,200000,10000,14
1495,"2,072,600",29.6,"目標金額：7,000,000円",,20211119202221791,17,4,346,9,60000,10000,29
159,"295,000",2.9,"目標金額：10,000,000円",,20179620171231117,0,,447,0,,,24
2022,"8,158,000",407.8,"目標金額：2,000,000円",,20221022202311989,0,3,609,12,19000,12000,22
1237,"640,000",32,"目標金額：2,000,000円",,202110152022131109,0,2,355,7,250000,5000,19
1839,"43,000",4.3,"目標金額：1,000,000円",,202285202291744,0,,213,0,,,10
1005,"591,000",19.7,"目標金額：3,000,000円",,2020912020113091,0,,545,0,,,13
502,"1,015,000",101.4,"目標金額：1,000,000円",,20181221201931080,9,1,224,4,50000,10000,26
2821,"333,000",33.3,"目標金額：1,000,000円",,20231214202431290,0,,314,78,52000,8000,13
